,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price_lakhs,Status,Transaction,Type,Per_Sqft
39,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,4.0,260.0,Ready_to_move,New_Property,Builder_Floor,
40,1650.0,3,3.0,Semi-Furnished,Lajpat Nagar,1.0,300.0,Ready_to_move,Resale,Builder_Floor,
41,1280.0,2,2.0,Furnished,Lajpat Nagar,1.0,125.0,Ready_to_move,Resale,Builder_Floor,
42,1260.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,210.0,Ready_to_move,Resale,Builder_Floor,
43,1130.0,2,2.0,Unfurnished,Lajpat Nagar 4,1.0,78.0,Ready_to_move,Resale,Builder_Floor,
44,600.0,2,2.0,Semi-Furnished,Lajpat Nagar,1.0,115.0,Ready_to_move,New_Property,Builder_Floor,
45,850.0,2,2.0,Semi-Furnished,Lajpat Nagar 1,1.0,115.0,Ready_to_move,Resale,Builder_Floor,
46,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,260.0,Ready_to_move,New_Property,Builder_Floor,
47,900.0,2,2.0,Semi-Furnished,Lajpat Nagar,2.0,130.0,Ready_to_move,New_Property,Builder_Floor,14444.0
48,1000.0,3,3.0,Semi-Furnished,Lajpat Nagar,1.0,220.0,Ready_to_move,New_Property,Builder_Floor,22000.0
49,900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,158.0,Ready_to_move,New_Property,Builder_Floor,22000.0
50,2925.0,4,4.0,Unfurnished,Lajpat Nagar 3,2.0,575.0,Ready_to_move,New_Property,Builder_Floor,22000.0
51,900.0,2,2.0,Unfurnished,Lajpat Nagar 1,2.0,100.0,Ready_to_move,Resale,Builder_Floor,22000.0
52,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,2.0,300.0,Ready_to_move,New_Property,Builder_Floor,22000.0
53,1143.0,3,3.0,Unfurnished,Lajpat Nagar,2.0,220.0,Ready_to_move,New_Property,Builder_Floor,22000.0
54,1150.0,3,3.0,Semi-Furnished,Lajpat Nagar,2.0,240.0,Ready_to_move,New_Property,Builder_Floor,22000.0
55,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,315.0,Ready_to_move,Resale,Builder_Floor,22000.0
56,850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,146.0,Ready_to_move,Resale,Builder_Floor,22000.0
57,8000.0,4,5.0,Semi-Furnished,Lajpat Nagar,1.0,2400.0,Ready_to_move,New_Property,Builder_Floor,22000.0
58,890.0,2,2.0,Semi-Furnished,Lajpat Nagar 1,1.0,83.0,Ready_to_move,Resale,Builder_Floor,22000.0
59,1100.0,3,3.0,Unfurnished,Lajpat Nagar,1.0,225.0,Ready_to_move,New_Property,Builder_Floor,22000.0
61,850.0,2,1.0,Semi-Furnished,Dwarka Sector 24,2.0,19.0,Ready_to_move,New_Property,Apartment,2235.0
63,1387.0,4,4.0,Unfurnished,Dwarka Sector 24,1.0,58.9,Ready_to_move,New_Property,Apartment,4247.0
64,1050.0,3,2.0,Unfurnished,Dwarka Sector 21,1.0,37.0,Ready_to_move,New_Property,Apartment,3524.0
65,1500.0,3,2.0,Unfurnished,Dwarka Sector 12,1.0,174.0,Ready_to_move,Resale,Apartment,3524.0
66,1200.0,3,3.0,Semi-Furnished,Dwarka Sector 12,1.0,155.0,Ready_to_move,Resale,Apartment,3524.0
68,1700.0,3,2.0,Semi-Furnished,Dwarka,1.0,172.0,Ready_to_move,Resale,Apartment,3524.0
69,1550.0,3,2.0,Furnished,Dwarka Sector 7,2.0,142.0,Ready_to_move,Resale,Apartment,3524.0
70,1400.0,3,3.0,Semi-Furnished,Dwarka Sector 23,1.0,135.0,Ready_to_move,Resale,Apartment,3524.0
71,1900.0,4,4.0,Semi-Furnished,Dwarka Sector 12,1.0,300.0,Ready_to_move,Resale,Apartment,3524.0
72,2160.0,4,3.0,Unfurnished,Dwarka Sector 19,1.0,210.0,Ready_to_move,Resale,Apartment,3524.0
73,1700.0,4,3.0,Unfurnished,Dwarka Sector 5,1.0,205.0,Ready_to_move,Resale,Apartment,3524.0
74,1850.0,3,4.0,Semi-Furnished,Dwarka,1.0,240.0,Ready_to_move,Resale,Apartment,3524.0
75,1800.0,4,2.0,Semi-Furnished,Dwarka Sector 5,1.0,165.0,Ready_to_move,Resale,Apartment,3524.0
76,1620.0,3,2.0,Semi-Furnished,Dwarka Sector 18,1.0,149.0,Ready_to_move,Resale,Apartment,3524.0
78,1540.0,3,3.0,Semi-Furnished,Dwarka Sector 3,1.0,145.0,Ready_to_move,Resale,Apartment,3524.0
79,1600.0,3,3.0,Semi-Furnished,Dwarka,1.0,156.0,Ready_to_move,Resale,Apartment,3524.0
80,1400.0,3,2.0,Unfurnished,Dwarka Sector 12,1.0,114.0,Ready_to_move,Resale,Apartment,3524.0
81,2300.0,4,4.0,Furnished,Dwarka,1.0,315.0,Ready_to_move,Resale,Apartment,3524.0
82,1560.0,3,2.0,Furnished,Dwarka Sector 12,2.0,158.0,Ready_to_move,Resale,Apartment,3524.0
83,1500.0,3,3.0,Semi-Furnished,Dwarka,2.0,160.0,Ready_to_move,Resale,Apartment,3524.0
84,1540.0,3,3.0,Semi-Furnished,Dwarka Sector 3,1.0,145.0,Ready_to_move,Resale,Apartment,3524.0
85,1050.0,2,2.0,Unfurnished,Dwarka,1.0,105.0,Ready_to_move,Resale,Apartment,3524.0
86,1800.0,3,2.0,Semi-Furnished,Dwarka Sector 4,1.0,148.0,Ready_to_move,Resale,Apartment,3524.0
88,1150.0,3,2.0,Semi-Furnished,Dwarka Sector 16B,1.0,68.0,Ready_to_move,New_Property,Builder_Floor,3524.0
89,1525.0,3,3.0,Semi-Furnished,Dwarka Sector 23,1.0,142.0,Ready_to_move,Resale,Apartment,3524.0
90,900.0,1,1.0,Semi-Furnished,Lajpat Nagar 3,,89.0,Ready_to_move,Resale,Builder_Floor,
91,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,375.0,Ready_to_move,New_Property,Builder_Floor,
92,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,300.0,Ready_to_move,New_Property,Builder_Floor,
93,1260.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,210.0,Ready_to_move,Resale,Builder_Floor,
94,2925.0,4,4.0,Unfurnished,Lajpat Nagar 3,2.0,575.0,Ready_to_move,New_Property,Builder_Floor,
95,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,300.0,Ready_to_move,Resale,Builder_Floor,
96,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,300.0,Ready_to_move,New_Property,Builder_Floor,
97,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,315.0,Ready_to_move,Resale,Builder_Floor,
98,2200.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,300.0,Ready_to_move,Resale,Builder_Floor,
99,1350.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,415.0,Ready_to_move,New_Property,Builder_Floor,
100,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,248.0,Ready_to_move,Resale,Builder_Floor,
101,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,350.0,Ready_to_move,Resale,Builder_Floor,
102,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,400.0,Ready_to_move,Resale,Builder_Floor,26666.0
103,2880.0,4,5.0,Unfurnished,Lajpat Nagar 3,1.0,460.0,Ready_to_move,New_Property,Builder_Floor,15972.0
104,2700.0,4,4.0,Semi-Furnished,Lajpat Nagar 3,2.0,550.0,Ready_to_move,Resale,Builder_Floor,183333.0
105,1400.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,245.0,Ready_to_move,Resale,Builder_Floor,183333.0
106,1800.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,245.0,Ready_to_move,Resale,Apartment,183333.0
107,1400.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,325.0,Ready_to_move,New_Property,Builder_Floor,183333.0
108,1000.0,2,2.0,Furnished,Lajpat Nagar 3,1.0,200.0,Ready_to_move,Resale,Apartment,20000.0
109,8000.0,4,5.0,Semi-Furnished,Lajpat Nagar,1.0,2400.0,Ready_to_move,New_Property,Builder_Floor,20000.0
110,1000.0,2,2.0,Furnished,Lajpat Nagar 3,1.0,200.0,Ready_to_move,Resale,Apartment,20000.0
111,1700.0,3,3.0,Furnished,Lajpat Nagar 3,2.0,190.0,Ready_to_move,Resale,Builder_Floor,20000.0
112,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,2.0,260.0,Ready_to_move,Resale,Builder_Floor,20000.0
113,1350.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,210.0,Ready_to_move,Resale,Builder_Floor,15556.0
114,1700.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,275.0,Ready_to_move,Resale,Builder_Floor,16176.0
115,1400.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,325.0,Ready_to_move,New_Property,Builder_Floor,16176.0
116,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,450.0,Ready_to_move,New_Property,Builder_Floor,16176.0
117,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,210.0,Ready_to_move,Resale,Builder_Floor,15556.0
118,1700.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,280.0,Ready_to_move,Resale,Builder_Floor,15556.0
119,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,2.0,295.0,Ready_to_move,Resale,Builder_Floor,15556.0
120,1500.0,1,,Unfurnished,Lajpat Nagar 2,,135.0,Ready_to_move,Resale,Apartment,
121,800.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,140.0,Ready_to_move,New_Property,Builder_Floor,
122,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,4.0,260.0,Ready_to_move,New_Property,Builder_Floor,
123,1350.0,2,2.0,Furnished,Lajpat Nagar 2,4.0,125.0,Ready_to_move,Resale,Builder_Floor,9259.0
124,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,260.0,Ready_to_move,New_Property,Builder_Floor,9259.0
125,750.0,2,2.0,Semi-Furnished,Lajpat Nagar,2.0,115.0,Ready_to_move,New_Property,Builder_Floor,9259.0
126,850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,2.0,146.0,Ready_to_move,Resale,Builder_Floor,9259.0
127,1575.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,255.0,Ready_to_move,New_Property,Builder_Floor,9259.0
128,1675.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,310.0,Ready_to_move,New_Property,Builder_Floor,18507.0
129,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,220.0,Ready_to_move,Resale,Builder_Floor,18507.0
130,900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,2.0,134.0,Ready_to_move,New_Property,Builder_Floor,18507.0
131,1800.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,350.0,Almost_ready,New_Property,Builder_Floor,18507.0
132,900.0,2,2.0,Furnished,Lajpat Nagar 2,2.0,110.0,Ready_to_move,Resale,Builder_Floor,18507.0
133,900.0,2,2.0,Unfurnished,Lajpat Nagar,2.0,63.0,Ready_to_move,Resale,Builder_Floor,7000.0
134,900.0,2,2.0,Furnished,Lajpat Nagar 2,2.0,125.0,Ready_to_move,Resale,Builder_Floor,7000.0
135,800.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,145.0,Ready_to_move,New_Property,Builder_Floor,7000.0
136,1100.0,2,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,225.0,Ready_to_move,New_Property,Builder_Floor,7000.0
137,810.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,155.0,Ready_to_move,New_Property,Builder_Floor,7000.0
138,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,260.0,Ready_to_move,New_Property,Builder_Floor,7000.0
139,900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,158.0,Ready_to_move,New_Property,Builder_Floor,7000.0
140,825.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,150.0,Ready_to_move,New_Property,Builder_Floor,7000.0
141,900.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,130.0,Ready_to_move,New_Property,Builder_Floor,7000.0
142,875.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,150.0,Ready_to_move,New_Property,Builder_Floor,7000.0
143,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,250.0,Ready_to_move,New_Property,Builder_Floor,7000.0
144,750.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,165.0,Ready_to_move,New_Property,Builder_Floor,7000.0
145,900.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,103.0,Ready_to_move,New_Property,Builder_Floor,7000.0
146,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,260.0,Ready_to_move,New_Property,Builder_Floor,7000.0
147,900.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,110.0,Ready_to_move,Resale,Builder_Floor,7000.0
148,1800.0,3,3.0,Unfurnished,Lajpat Nagar 2,1.0,285.0,Ready_to_move,New_Property,Builder_Floor,7000.0
149,900.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,110.0,Ready_to_move,Resale,Builder_Floor,7000.0
150,900.0,2,1.0,Furnished,Budh Vihar,1.0,110.0,Ready_to_move,Resale,Apartment,
151,810.0,3,2.0,Semi-Furnished,Budh Vihar,1.0,45.0,Ready_to_move,Resale,Builder_Floor,
153,100.0,3,2.0,Furnished,Budh Vihar Phase 1,1.0,43.0,Ready_to_move,New_Property,Builder_Floor,43000.0
154,900.0,3,2.0,Semi-Furnished,Budh Vihar,1.0,40.0,Ready_to_move,Resale,Builder_Floor,4444.0
155,500.0,2,2.0,Semi-Furnished,Budh Vihar Phase 1,1.0,16.5,Ready_to_move,Resale,Apartment,3300.0
156,450.0,1,1.0,Furnished,Budh Vihar,1.0,20.0,Ready_to_move,Resale,Builder_Floor,4444.0
157,75.0,2,2.0,Semi-Furnished,Budh Vihar,1.0,30.0,Ready_to_move,Resale,Builder_Floor,40000.0
158,270.0,2,1.0,Semi-Furnished,Budh Vihar Phase 1,1.0,14.0,Ready_to_move,Resale,Apartment,5185.0
159,500.0,2,1.0,Semi-Furnished,Budh Vihar Phase 1,1.0,20.0,Ready_to_move,Resale,Builder_Floor,4000.0
160,444.0,2,2.0,Unfurnished,Budh Vihar Phase 1,1.0,20.0,Ready_to_move,Resale,Apartment,4000.0
161,400.0,1,1.0,Furnished,Budh Vihar,1.0,20.0,Ready_to_move,Resale,Builder_Floor,4000.0
162,729.0,3,4.0,Furnished,Budh Vihar,1.0,26.0,Ready_to_move,Resale,Builder_Floor,3567.0
163,4050.0,6,3.0,Furnished,Budh Vihar Phase 1,1.0,51.0,Ready_to_move,Resale,Builder_Floor,1259.0
164,2400.0,6,4.0,Furnished,Budh Vihar Phase 2,1.0,60.0,Ready_to_move,Resale,Builder_Floor,2500.0
165,450.0,2,2.0,Furnished,Budh Vihar,1.0,40.0,Ready_to_move,Resale,Builder_Floor,2500.0
166,405.0,2,3.0,Furnished,Budh Vihar Phase 2,1.0,62.0,Ready_to_move,Resale,Builder_Floor,2500.0
167,666.0,1,2.0,Furnished,Budh Vihar Phase 1,1.0,35.0,Ready_to_move,Resale,Builder_Floor,5255.0
168,1000.0,2,2.0,Semi-Furnished,Rohini Sector 23,1.0,76.0,Ready_to_move,Resale,Apartment,5255.0
169,1360.0,4,3.0,Semi-Furnished,Rohini Sector 24,1.0,135.0,Ready_to_move,New_Property,Builder_Floor,5255.0
170,1550.0,4,3.0,Semi-Furnished,Rohini Sector 24,1.0,125.0,Ready_to_move,New_Property,Builder_Floor,5255.0
171,850.0,3,2.0,Semi-Furnished,Rohini Sector 23,1.0,65.0,Ready_to_move,New_Property,Builder_Floor,5255.0
172,2170.0,4,4.0,Unfurnished,Rohini Sector 23,2.0,220.0,Ready_to_move,New_Property,Builder_Floor,5255.0
173,720.0,3,2.0,Semi-Furnished,Rohini Sector 23,1.0,60.0,Ready_to_move,New_Property,Builder_Floor,5255.0
174,850.0,3,2.0,Semi-Furnished,Rohini Sector 23,1.0,73.0,Ready_to_move,New_Property,Builder_Floor,5255.0
175,950.0,3,2.0,Semi-Furnished,Rohini Sector 23,1.0,76.0,Ready_to_move,New_Property,Builder_Floor,5255.0
176,2300.0,4,4.0,Semi-Furnished,Rohini Sector 23,1.0,200.0,Ready_to_move,New_Property,Builder_Floor,5255.0
177,1300.0,4,4.0,Semi-Furnished,Rohini Sector 22,1.0,150.0,Ready_to_move,New_Property,Builder_Floor,5255.0
178,1100.0,3,2.0,Semi-Furnished,Rohini Sector 20,1.0,62.0,Ready_to_move,New_Property,Builder_Floor,5255.0
179,1030.0,3,2.0,Furnished,Rohini Sector 20,1.0,62.0,Ready_to_move,New_Property,Builder_Floor,5255.0
209,4688.0,5,4.0,Unfurnished,Patel Nagar,1.0,1350.0,Almost_ready,New_Property,Apartment,28797.0
211,3901.0,4,4.0,Unfurnished,Patel Nagar,1.0,930.0,Almost_ready,New_Property,Apartment,23840.0
212,950.0,3,2.0,Furnished,Uttam Nagar,1.0,43.7,Ready_to_move,New_Property,Apartment,4600.0
213,1000.0,3,2.0,Unfurnished,Dwarka Mor,1.0,46.2,Ready_to_move,New_Property,Apartment,4620.0
214,850.0,2,1.0,Semi-Furnished,Dwarka Sector 24,1.0,19.0,Ready_to_move,New_Property,Apartment,2235.0
215,2400.0,4,4.0,Semi-Furnished,Greater Kailash 2,1.0,700.0,Ready_to_move,New_Property,Apartment,2235.0
217,540.0,2,2.0,Semi-Furnished,Dwarka Mor,1.0,30.0,Ready_to_move,New_Property,Apartment,5000.0
218,1387.0,4,4.0,Unfurnished,Dwarka Sector 24,1.0,58.9,Ready_to_move,New_Property,Apartment,4247.0
219,540.0,2,2.0,Semi-Furnished,Uttam Nagar,1.0,33.0,Ready_to_move,New_Property,Apartment,6111.0
220,976.0,2,2.0,Furnished,Okhla,1.0,249.0,Ready_to_move,New_Property,Apartment,25512.0
221,1050.0,3,2.0,Unfurnished,Dwarka Sector 21,1.0,37.0,Ready_to_move,New_Property,Apartment,3524.0
222,2700.0,4,3.0,Semi-Furnished,Greater Kailash 1,1.0,600.0,Ready_to_move,New_Property,Builder_Floor,22222.0
223,1500.0,3,2.0,Unfurnished,Dwarka Sector 12,1.0,174.0,Ready_to_move,Resale,Apartment,22222.0
224,2900.0,5,5.0,Furnished,Janakpuri Block A3,1.0,510.0,Almost_ready,New_Property,Builder_Floor,22222.0
225,5025.0,5,6.0,Unfurnished,Greater Kailash 2,4.0,1700.0,Almost_ready,New_Property,Builder_Floor,22222.0
227,1135.0,3,3.0,Furnished,Karol Bagh,2.0,250.0,Almost_ready,Resale,Apartment,22222.0
228,2306.0,3,3.0,Unfurnished,Patel Nagar,1.0,570.0,Almost_ready,New_Property,Apartment,24718.0
229,850.0,2,2.0,Semi-Furnished,Najafgarh,1.0,29.4,Almost_ready,New_Property,Apartment,24718.0
230,1200.0,3,3.0,Semi-Furnished,Dwarka Sector 12,1.0,155.0,Ready_to_move,Resale,Apartment,24718.0
231,1700.0,3,2.0,Semi-Furnished,Dwarka,1.0,172.0,Ready_to_move,Resale,Apartment,24718.0
232,1800.0,4,3.0,Semi-Furnished,Vasant Vihar,2.0,550.0,Ready_to_move,Resale,Builder_Floor,30556.0
233,1100.0,2,2.0,Semi-Furnished,Vasant Kunj,1.0,150.0,Ready_to_move,Resale,Apartment,30556.0
234,22050.0,4,4.0,Semi-Furnished,Greater Kailash 1,2.0,510.0,Almost_ready,New_Property,Builder_Floor,30556.0
235,1550.0,4,3.0,Semi-Furnished,Rohini Sector 24,1.0,130.0,Ready_to_move,New_Property,Builder_Floor,30556.0
236,1600.0,3,3.0,Semi-Furnished,Greater Kailash 1,1.0,300.0,Ready_to_move,New_Property,Builder_Floor,18750.0
237,700.0,2,2.0,Semi-Furnished,Madangir,1.0,24.0,Ready_to_move,New_Property,Builder_Floor,18750.0
238,45.0,4,3.0,Unfurnished,Okhla,1.0,55.0,Ready_to_move,New_Property,Builder_Floor,18750.0
239,3510.0,4,4.0,Semi-Furnished,New Friends Colony,2.0,450.0,Ready_to_move,Resale,Builder_Floor,
240,4500.0,4,4.0,Semi-Furnished,New Friends Colony,2.0,600.0,Ready_to_move,New_Property,Builder_Floor,120000.0
241,1800.0,4,4.0,Semi-Furnished,New Friends Colony,2.0,650.0,Ready_to_move,New_Property,Builder_Floor,120000.0
242,6000.0,5,5.0,Semi-Furnished,New Friends Colony,9.0,2200.0,Ready_to_move,New_Property,Builder_Floor,120000.0
244,1700.0,3,3.0,Semi-Furnished,New Friends Colony,2.0,385.0,Ready_to_move,New_Property,Builder_Floor,120000.0
245,2500.0,3,3.0,Semi-Furnished,New Friends Colony,2.0,500.0,Ready_to_move,Resale,Apartment,120000.0
246,4500.0,4,4.0,Semi-Furnished,New Friends Colony,2.0,750.0,Ready_to_move,New_Property,Builder_Floor,120000.0
247,2450.0,4,4.0,Furnished,New Friends Colony,2.0,700.0,Ready_to_move,New_Property,Builder_Floor,120000.0
248,10350.0,4,7.0,Semi-Furnished,New Friends Colony,3.0,1600.0,Ready_to_move,New_Property,Apartment,15459.0
249,4800.0,3,4.0,Semi-Furnished,New Friends Colony,1.0,850.0,Ready_to_move,Resale,Builder_Floor,15459.0
250,1600.0,3,3.0,Semi-Furnished,New Friends Colony,2.0,400.0,Ready_to_move,Resale,Apartment,15459.0
251,3500.0,4,4.0,Unfurnished,New Friends Colony,2.0,900.0,Ready_to_move,Resale,Builder_Floor,15459.0
252,2100.0,4,5.0,Semi-Furnished,New Friends Colony,2.0,560.0,Ready_to_move,New_Property,Builder_Floor,15459.0
253,4200.0,5,5.0,Semi-Furnished,New Friends Colony,2.0,1355.0,Ready_to_move,New_Property,Builder_Floor,15459.0
254,1500.0,3,3.0,Semi-Furnished,New Friends Colony,2.0,600.0,Ready_to_move,New_Property,Builder_Floor,15459.0
255,8150.0,4,5.0,Unfurnished,New Friends Colony,4.0,1700.0,Ready_to_move,New_Property,Builder_Floor,15459.0
257,3500.0,4,5.0,Semi-Furnished,New Friends Colony,2.0,580.0,Ready_to_move,New_Property,Builder_Floor,15459.0
258,2070.0,3,3.0,Semi-Furnished,New Friends Colony,2.0,375.0,Ready_to_move,New_Property,Builder_Floor,15459.0
259,3500.0,3,3.0,Unfurnished,New Friends Colony,1.0,450.0,Ready_to_move,Resale,Builder_Floor,15459.0
260,2000.0,4,4.0,Semi-Furnished,New Friends Colony,3.0,700.0,Ready_to_move,New_Property,Builder_Floor,15459.0
262,2550.0,4,4.0,Unfurnished,New Friends Colony,1.0,600.0,Ready_to_move,Resale,Builder_Floor,23529.0
263,4500.0,4,4.0,Semi-Furnished,New Friends Colony,2.0,700.0,Ready_to_move,Resale,Builder_Floor,23529.0
264,1400.0,3,3.0,Semi-Furnished,New Friends Colony,2.0,500.0,Ready_to_move,New_Property,Builder_Floor,23529.0
265,2800.0,4,5.0,Semi-Furnished,New Friends Colony,2.0,750.0,Ready_to_move,New_Property,Builder_Floor,23529.0
267,4500.0,4,4.0,Semi-Furnished,New Friends Colony,2.0,550.0,Ready_to_move,Resale,Builder_Floor,23529.0
268,7200.0,4,4.0,Semi-Furnished,New Friends Colony,2.0,1200.0,Ready_to_move,Resale,Builder_Floor,16667.0
